variant,seed,rmse,mae,r2,n_train,n_test
raw,42,14.581122398376465,11.973484992980957,-2.2538602352142334,6902,1012
raw,43,7.144480228424072,6.085822582244873,0.21880722045898438,6902,1012
raw,44,12.557313919067383,10.24504280090332,-1.4132955074310303,6902,1012
raw,45,11.68781566619873,9.490738868713379,-1.0906610488891602,6902,1012
raw,46,6.286872386932373,4.710992336273193,0.3950962424278259,6902,1012
raw,47,6.56503438949585,5.190258979797363,0.340384304523468,6902,1012
raw,48,5.608438014984131,4.970180988311768,0.5186058282852173,6902,1012
raw,49,9.598907470703125,7.891138553619385,-0.4101346731185913,6902,1012
raw,50,12.787079811096191,11.066132545471191,-1.5024173259735107,6902,1012
raw,51,11.430212020874023,9.157766342163086,-0.9995191097259521,6902,1012
rules_repair,42,8.430240631103516,5.693935394287109,-0.0876694917678833,6902,1012
rules_repair,43,7.813270568847656,5.88278341293335,0.06570780277252197,6902,1012
rules_repair,44,7.252780914306641,4.404069423675537,0.19494402408599854,6902,1012
rules_repair,45,5.104190349578857,2.9229888916015625,0.6012774705886841,6902,1012
rules_repair,46,7.122546672821045,5.23606014251709,0.22359633445739746,6902,1012
rules_repair,47,7.3230204582214355,4.992456436157227,0.17927533388137817,6902,1012
rules_repair,48,5.681780815124512,3.8747823238372803,0.5059329271316528,6902,1012
rules_repair,49,6.489037036895752,4.228143215179443,0.35556745529174805,6902,1012
rules_repair,50,7.846039295196533,5.076700687408447,0.05785459280014038,6902,1012
rules_repair,51,8.061102867126465,5.356227874755859,0.005497455596923828,6902,1012
ae_repair,42,6.2301716804504395,3.8322598934173584,0.4059581756591797,6902,1012
ae_repair,43,7.309401988983154,4.767707824707031,0.18232512474060059,6902,1012
ae_repair,44,6.535496711730957,4.003302097320557,0.3463064432144165,6902,1012
ae_repair,45,6.534088134765625,3.84010648727417,0.3465881943702698,6902,1012
ae_repair,46,5.539181232452393,3.3010494709014893,0.5304216146469116,6902,1012
ae_repair,47,5.798207759857178,3.271172285079956,0.4854773283004761,6902,1012
ae_repair,48,5.299159049987793,3.646314859390259,0.5702351331710815,6902,1012
ae_repair,49,6.515709400177002,4.0345025062561035,0.35025882720947266,6902,1012
ae_repair,50,7.070014476776123,4.352630615234375,0.23500674962997437,6902,1012
ae_repair,51,5.920649528503418,3.6960906982421875,0.46351730823516846,6902,1012
union_repair,42,8.6675386428833,5.9875335693359375,-0.14976346492767334,6902,1012
union_repair,43,8.260208129882812,6.486690521240234,-0.04423666000366211,6902,1012
union_repair,44,7.3236212730407715,4.582679748535156,0.17914068698883057,6902,1012
union_repair,45,5.492854595184326,3.293149709701538,0.538243293762207,6902,1012
union_repair,46,7.344081878662109,5.50325870513916,0.17454767227172852,6902,1012
union_repair,47,7.549078464508057,5.163473606109619,0.12782257795333862,6902,1012
union_repair,48,5.877792835235596,4.111108779907227,0.47125595808029175,6902,1012
union_repair,49,6.7846574783325195,4.64180326461792,0.2955132722854614,6902,1012
union_repair,50,8.22469711303711,5.524537086486816,-0.035277605056762695,6902,1012
union_repair,51,8.297846794128418,5.723452091217041,-0.05377483367919922,6902,1012
drop_faulty,42,13.598285675048828,10.401890754699707,-1.8299927711486816,88,1012
drop_faulty,43,14.082398414611816,11.234838485717773,-2.0350804328918457,88,1012
drop_faulty,44,11.977856636047363,8.814599990844727,-1.1957111358642578,88,1012
drop_faulty,45,9.809492111206055,5.914637088775635,-0.4726855754852295,88,1012
drop_faulty,46,13.138443946838379,10.037041664123535,-1.6418299674987793,88,1012
drop_faulty,47,10.987994194030762,7.869821071624756,-0.8477950096130371,88,1012
drop_faulty,48,8.455373764038086,5.676020622253418,-0.09416437149047852,88,1012
drop_faulty,49,7.896470069885254,4.139529705047607,0.04570430517196655,88,1012
drop_faulty,50,10.576789855957031,7.249713897705078,-0.7120827436447144,88,1012
drop_faulty,51,10.08000659942627,7.364375114440918,-0.5550295114517212,88,1012
