gap_start,gap_end,duration_h
2022-05-11 01:26:05,2022-05-16 12:12:11,130.76833333333335
2022-04-30 13:08:25,2022-05-02 01:17:25,36.15
2022-04-27 12:33:42,2022-04-28 11:55:26,23.362222222222222
2022-05-18 12:57:14,2022-05-19 10:25:26,21.47
2022-05-09 11:26:49,2022-05-09 13:44:53,2.301111111111111
2022-05-08 01:59:59,2022-05-08 03:00:00,1.0002777777777778
2022-04-26 13:47:07,2022-04-26 14:08:46,0.36083333333333334
2022-04-26 12:11:55,2022-04-26 12:29:05,0.2861111111111111
2022-04-28 11:57:26,2022-04-28 12:13:04,0.26055555555555554
2022-04-18 15:09:40,2022-04-18 15:20:27,0.17972222222222223
2022-04-30 11:00:16,2022-04-30 11:10:46,0.175
2022-04-30 10:37:14,2022-04-30 10:45:26,0.13666666666666666
2022-04-30 10:25:48,2022-04-30 10:32:24,0.11
2022-04-26 14:51:57,2022-04-26 14:58:18,0.10583333333333333
2022-04-28 12:58:09,2022-04-28 13:04:19,0.10277777777777777
